Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry,Sector,Revenue,Rev. Growth,Net Income,Free_Cash_Flow
BELI,PT Global Digital Niaga Tbk,53.28T,410.00,"5,351,600",Internet Retail,Consumer Discretionary,19.82T,28.83%,"-2,501.30B","-3,076.34B"
AMFG,PT Asahimas Flat Glass Tbk,1.56T,"3,600.00","6,2",Building Materials,Materials,5.01T,-10.88%,138.64B,-76.46B
JKON,PT Jaya Konstruksi Manggala Pratama Tbk,1.39T,84.00,"40,692,400",Conglomerates,Industrials,3.65T,-11.65%,116.69B,53.63B
LIFE,PT MSIG Life Insurance Indonesia Tbk,17.96T,"8,550.00","8,3",Insurance - Life,Financials,3.68T,17.05%,310.47B,264.86B
IPCC,PT Indonesia Kendaraan Terminal Tbk,2.15T,"1,195.00","1,256,200",Integrated Freight & Logistics,Industrials,899.01B,16.32%,254.49B,394.57B
STAA,PT Sumber Tani Agung Resources Tbk,15.86T,"1,455.00","22,741,100",Farm Products,Consumer Staples,8.58T,46.42%,1.63T,1.16T
BIKE,PT Sepeda Bersama Indonesia Tbk,1.18T,885.00,"3,649,600",Leisure,Consumer Discretionary,374.14B,3.03%,15.23B,15.67B
CNMA,PT Nusantara Sejahtera Raya Tbk,9.72T,119.00,"23,206,900",Entertainment,Communication Services,5.73T,0.62%,644.09B,871.32B
INPC,PT Bank Artha Graha Internasional Tbk,3.05T,151.00,"3,123,600",Banks - Regional,Financials,1.22T,2.03%,81.14B,979.57B
HEAL,PT Medikaloka Hermina Tbk,23.28T,"1,425.00","25,180,800",Medical Care Facilities,Healthcare,6.98T,6.05%,423.80B,-812.51B
DEPO,PT Caturkarda Depo Bangunan Tbk,1.83T,270.00,"504,6",Home Improvement,Consumer Discretionary,2.90T,6.22%,88.88B,74.25B
SSMS,PT Sawit Sumbermas Sarana Tbk.,15.29T,"1,610.00","8,072,900",Farm Products,Consumer Staples,14.16T,32.38%,1.21T,655.97B
KEEN,PT Kencana Energi Lestari Tbk,3.63T,995.00,"6,479,700",Utilities - Independent Power Producers,Utilities,547.20B,-26.11%,55.94B,162.20B
OMED,PT Jayamas Medica Industri Tbk,5.41T,200.00,"2,957,400",Medical Instruments & Supplies,Healthcare,1.99T,8.51%,364.96B,260.24B
PGUN,PT Pradiksi Gunatama Tbk,76.31T,"13,250.0","97,9",Farm Products,Consumer Staples,888.57B,38.52%,162.14B,210.58B
FILM,PT.MD Entertainment Tbk,57.16T,"5,800.00","7,392,600",Entertainment,Communication Services,514.30B,21.29%,-135.62B,-326.64B
MGLV,PT Panca Anugrah Wisesa Tbk,1.24T,715.00,"2,294,100","Furnishings, Fixtures & Appliances",Consumer Discretionary,171.01B,-32.40%,-942.17M,-25.17B
EDGE,PT Indointernet Tbk.,8.71T,"4,310.00","31,3",Information Technology Services,Technology,842.16B,-17.57%,137.51B,-601.65B
