Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry_CSV,Sector_CSV,Revenue,Revenue_Growth,Net_Income,Free_Cash_Flow,Full_Company_Name,ISIN_Code,Registered_Office,Telephone,Email,Taxpayer_Number,Website,Main_Business_Fields,Sector_JSON,Subsector,Industry_JSON,Sub_Industry,Securities_Administration_Bureau,Recording_Date,Recording_Board,Data_Merge_Success,Data_Source,Fax
BELI,PT Global Digital Niaga Tbk,53.28T,410.00,"5,351,600",Internet Retail,Consumer Discretionary,19.82T,28.83%,"-2,501.30B","-3,076.34B",PT Global Digital Niaga Tbk,BELI,"Jl. Jendral Ahmad Yani No. 34 Kel. Panjunan, Kec. Kota Kudus Kab. Kudus 59317, Jawa Tengah",(0291) 431695,corp.sec@gdn-commerce.com,03.000.644.9-506.000,https://about.blibli.com/id,"Perdagangan eceran melalui media, pengembangan aplikasi perdagangan melalui internet (e-commerce), portal web dan/atau platform digital dengan tujuan komersial. Global Distribution Niaga Pte. Ltd Entitas induk penyedia logistik 1.455.853 100 %",Teknologi Global Distribution Niaga Pte. Ltd Entitas induk penyedia logistik 1.455.659 100 %,Perangkat Lunak & Jasa TI Global Distribution Niaga Pte. Ltd Entitas induk penyedia logistik 1.455.758 100 %,Aplikasi & Jasa Internet PT Citra Komunikasi Utama Aktivitas jasa telekomunikasi lainnya 0 51 %,"Aplikasi & Jasa Internet PT Dekoruma Inovasi Lestari Jasa periklanan, jasa portal web dan/ platform digital sebagai media penjualan untuk perabotan rumah, tempat tinggal, dan desain interior 371.777 99,83 %","PT. Datindo Entrycom PT Dekoruma Inovasi Lestari Jasa periklanan, jasa portal web dan/ platform digital sebagai media penjualan untuk perabotan rumah, tempat tinggal, dan desain interior 415.373 99,83 %",2022-11-08 Nama Jenis Aset Total Persentase Global Distribution Niaga Pte. Ltd Entitas induk penyedia logistik 729.755 100 %,Ekonomi Baru Global Distribution Niaga Pte. Ltd Entitas induk penyedia logistik 1.455.780 100 %,True,CSV+JSON,
AMFG,PT Asahimas Flat Glass Tbk,1.56T,"3,600.00","6,2",Building Materials,Materials,5.01T,-10.88%,138.64B,-76.46B,Asahimas Flat Glass Tbk,AMFG,"Jl Ancol IX, 5, Ancol, Pademangan, Kota Adm. Jakarta Utara, DKI Jakarta, 14430",(021) 6904041 ext 1042,adimulya.sukmana@agc.com,0010 0016 1809 2000,www.amfg.co.id,"Ceramics, Glass, Porcelain",Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,PT. Datindo Entrycom,"1995-11-08 Nama Jenis Aset Total Persentase PT Auto Glass Indonesia Jasa Perbaikan dan Pemasangan Kaca Otomotif 6.060 99,95 %",Pengembangan,True,CSV+JSON,"021-6919245, 6918820"
JKON,PT Jaya Konstruksi Manggala Pratama Tbk,1.39T,84.00,"40,692,400",Conglomerates,Industrials,3.65T,-11.65%,116.69B,53.63B,Jaya Konstruksi Manggala Pratama Tbk,JKON,"Kantor Taman Bintaro Jaya, Gedung B Jl. Bintaro Raya Jakarta 12330",7363939; 7340260,info@jayakonstruksi.com,01.362.643.7-062.000,www.jayakonstruksi.com,Jasa Konstruksi PT Jaya Konstruksi Pratama Tol Pembangunan dan Jasa 4.967.158 75 %,"Infrastruktur PT Jaya Teknik Indonesia perdagangan, pembangunan, jasa dan perindustrian 435.207.248 99,99 %","Konstruksi Bangunan PT Jaya Trade Indonesia Perdagangan 1.210.319.680 99,99 %",Konstruksi Bangunan,Konstruksi Bangunan,PT. Adimitra Jasa Korpora,"2007-12-04 Nama Jenis Aset Total Persentase PT Jaya Beton Indonesia Produksi dan Perdagangan Barang Bangunan yang Dibuat dari Campuran Beton 608.198.775 99,90 %","Utama PT Jaya Daido Concrete Produksi Tiang Pancang Beton Pra Tekan, Mengarahkan Tiang Pancang Beton, Desain dan Perencanaan Pondasi Tiang Pancang, Pelaksana dan Menganalisa Pengujian Muatan Beban 9.879.373 88,76 %",True,CSV+JSON,7363959
LIFE,PT MSIG Life Insurance Indonesia Tbk,17.96T,"8,550.00","8,3",Insurance - Life,Financials,3.68T,17.05%,310.47B,264.86B,PT MSIG Life Insurance Indonesia Tbk.,LIFE,"Sinarmas Land Plaza Sudirman, Lantai 6 Jalan Jend. Sudirman Kav. 21 Jakarta Selatan 12920",021-50597777,corsec@msiglife.co.id,01.391.150.8-073.000,www.msiglife.co.id,Asuransi Jiwa,Keuangan,Asuransi,Asuransi,Asuransi Jiwa,PT. Sinartama Gunita,2019-07-09 Nama Jenis Aset Total Persentase,Pengembangan,True,CSV+JSON,021-50608899
IPCC,PT Indonesia Kendaraan Terminal Tbk,2.15T,"1,195.00","1,256,200",Integrated Freight & Logistics,Industrials,899.01B,16.32%,254.49B,394.57B,PT Indonesia Kendaraan Terminal Tbk.,IPCC,"Jl. Sindang Laut No. 100, RT 006 RW 008 Kalibaru, Cilincing",021-4393 2251,corsec.ipcc1@gmail.com,03.276.301.3-093.000,www.indonesiacarterminal.co.id,"Bongkar muat barang dari dan ke kapal, meliputi cargodoring, receiving-delivery dan stevedoring PT INDONESIA KENDARAAN TERMINAL TBK INFRASTRUK TUR 1.817.825.697 100 %",Infrastruktur PT INDONESIA KENDARAAN TERMINAL TBK INFRASTRUK TUR 1.869.951.955 100 %,Infrastruktur Transportasi PT INDONESIA KENDARAAN TERMINAL TBK INFRASTRUK TUR 1.869.951.955 100 %,Operator Infrastruktur Transportasi PT INDONESIA KENDARAAN TERMINAL TBK INFRASTRUKTUR 1.841.643.076 100 %,Operator Pelabuhan,PT. EDI Indonesia,2018-07-09 Nama Jenis Aset Total Persentase PT INDONESIA KENDARAAN TERMINAL TBK INFRASTRUK TUR 1.742.598.319 100 %,Utama PT INDONESIA KENDARAAN TERMINAL TBK INFRASTRUK TUR 1.788.314.387 100 %,True,CSV+JSON,021-4393 2250
STAA,PT Sumber Tani Agung Resources Tbk,15.86T,"1,455.00","22,741,100",Farm Products,Consumer Staples,8.58T,46.42%,1.63T,1.16T,PT Sumber Tani Agung Resources Tbk,STAA,"Jl. Pangeran Diponegoro No. 51 Medan 20152, Sumatra Utara, Indonesia",+62 61 415 6262,corporate.secretary@sta.co.id,01.597.585.7-123.000,http://sta.co.id/,"Perkebunan kelapa sawit dan industri pengolahan kelapa sawit baik secara langsung dan/atau Perusahaan Anak PT FLORA NUSA PERDANA PERKEBUNAN KELAPA SAWIT 709.711 72,33 %",Barang Konsumen Primer PT HANURABA SAWIT KENCANA PERKEBUNAN KELAPA SAWIT 384.860 100 %,Makanan & Minuman PT KARYA AGUNG SAWITA PERKEBUNAN DAN PABRIK KELAPA SAWIT 718.234 100 %,Produk Makanan Pertanian PT KARYA SERASI JAYA ABADI PABRIK KELAPA SAWIT 549 100 %,Perkebunan & Tanaman Pangan PT KARYASUKSES UTAMAPRIMA PERKEBUNAN DAN PABRIK KELAPA SAWIT 703.905 100 %,"PT. Adimitra Jasa Korpora PT MADINA AGROLESTARI PERKEBUNAN DAN PABRIK KELAPA SAWIT 668.401 99,90 %",2022-03-10 Nama Jenis Aset Total Persentase PT BUMI SUMBER ANDALAN PERKEBUNAN 80 100 %,Utama PT DIPTA AGRO LESTARI PERKEBUNAN KELAPA SAWIT 85.139 52 %,True,CSV+JSON,+62 61 414 8866
BIKE,PT Sepeda Bersama Indonesia Tbk,1.18T,885.00,"3,649,600",Leisure,Consumer Discretionary,374.14B,3.03%,15.23B,15.67B,PT Sepeda Bersama Indonesia Tbk,BIKE,"Jl. Alam Sutera Boulevard Kav. 12A, Pakulon, Serpong Utara Tangerang Selatan, Banten 15325",(+62-21) 3005 2633,corsec@sepedabersamaindonesia.co.id,83.308.799.2-411.000,www.sepedabersamaindonesia.co.id,"Perdagangan Besar Alat Olahraga & Perdagangan Besar Alat Transportasi Darat (Bukan Mobil, Sepeda Motor, dan sejenisnya), Suku Cadang dan Perlengkapannya",Barang Konsumen Non-Primer,Barang Rekreasi,Peralatan Olah Raga & Barang Hobi,Peralatan Olah Raga & Barang Hobi,PT. Adimitra Jasa Korpora,2022-03-21 Nama Jenis Aset Total Persentase,Pengembangan,True,CSV+JSON,(+62-21) 3005 2622
CNMA,PT Nusantara Sejahtera Raya Tbk,9.72T,119.00,"23,206,900",Entertainment,Communication Services,5.73T,0.62%,644.09B,871.32B,PT Nusantara Sejahtera Raya Tbk,CNMA,Jl. KH Wahid Hasyim No.96-A Jakarta Pusat 10340,(021) 31901188,investor.relations@nsr.co.id,01.331.456.2-073.000,www.cinema21.co.id,Bioskop dan Restoran PT Kartika Insani Raya industri bioskop dan penyediaan makanan dan minuman 27.098 100 %,Barang Konsumen Non-Primer PT Kharisma Maju Abadi industri bioskop dan penyediaan makanan dan minuman 88.470 70 %,Jasa Konsumen PT Lestari Mutra Sembada industri bioskop dan penyediaan makanan dan minuman 705.285 75 %,Pariwisata & Rekreasi PT Lia Anugrah Semesta industri bioskop dan penyediaan makanan dan minuman 110.376 70 %,Fasilitas Rekreasi & Olah Raga PT Nusantara Elang Sejahtera penyediaan platform tiket online 63.566 60 %,"PT. Datindo Entrycom PT Pan Mitra Sembada industri bioskop dan penyediaan makanan dan minuman 82.195 66,67 %",2023-08-02 Nama Jenis Aset Total Persentase PT Gading Adi Permai industri bioskop dan penyediaan makanan dan minuman 19.772 70 %,Utama PT Intra Mandiri industri bioskop dan penyediaan makanan dan minuman 102.036 100 %,True,CSV+JSON,(021) 31901144
INPC,PT Bank Artha Graha Internasional Tbk,3.05T,151.00,"3,123,600",Banks - Regional,Financials,1.22T,2.03%,81.14B,979.57B,Bank Artha Graha Internasional Tbk,INPC,"GEDUNG ARTHA GRAHA LT. 5, JL. JEND SUDIRMAN KAV. 52-53 SENAYAN KEBAYORAN BARU JAKARTA SELATAN DKI JAKARTA RAYA -12190",(021) 515-2168,co_secretary@ag.co.id,01.314.288.0-054.000,www.arthagraha.com,Perbankan,Keuangan,Bank,Bank,Bank,PT. Raya Saham Registra,1990-08-23 Nama Jenis Aset Total Persentase,Utama,True,CSV+JSON,(021) 515-3157
HEAL,PT Medikaloka Hermina Tbk,23.28T,"1,425.00","25,180,800",Medical Care Facilities,Healthcare,6.98T,6.05%,423.80B,-812.51B,PT Medikaloka Hermina Tbk.,HEAL,Jalan Raya Jatinegara Barat No. 126 Jakarta Timur 13320,021 - 8572525,corporate.secretary@herminahospitals.com,01.920.115.1-007.000,www.herminahospitals.com,Aktivitas Rumah Sakit Swasta PT Medika Loka Ambon (M Ambon) Rumah Sakit 25.303 99 %,Kesehatan PT Medika Loka Balikpapan (M Balikpapan) Rumah Sakit 157.029 62 %,"Jasa & Peralatan Kesehatan PT Medika Loka Bitung (M Bitung) Rumah Sakit 116.453 66,67 %","Penyedia Jasa Kesehatan PT Medika Loka Ciawi (M Ciawi) Rumah Sakit 155.353 79,79 %","Penyedia Jasa Kesehatan PT Medika Loka Cibitung (M Cibitung) Rumah Sakit 154.646 86,75 %","- PT Medika Loka Ciledug (M Ciledug) Rumah Sakit 122.265 72,45 %",2018-05-16 Nama Jenis Aset Total Persentase PT Andini Rumbai (A Rumbai) Rumah Sakit 25.576 99 %,"Utama PT Medika Loka Aceh (M Aceh) Rumah Sakit 126.236 84,27 %",True,CSV+JSON,021 - 8560601
