Country,Exchange,Ticker,Full Company Name,Sector,Industry,ISIC_Section,ISIC_Description,Incorporated in,Market_Tier,Stock_Price,Volume,Market_Cap
Indonesia,IDX,AADI,PT Adaro Andalan Indonesia Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,10500.0,27221600,81762361278464
Indonesia,IDX,AALI,Astra Agro Lestari Tbk,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,7200.0,1047100,13857756020736
Indonesia,IDX,ABBA,Mahaka Media Tbk,Barang Konsumen Non-Primer,Media,J,Information and communication,INDONESIA,,41.0,337000,161371602944
Indonesia,IDX,ABDA,Asuransi Bina Dana Arta Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,2700.0,500,1676177965056
Indonesia,IDX,ABMM,ABM Investama Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,2860.0,890000,7874051833856
Indonesia,IDX,ACES,PT Aspirasi Hidup Indonesia Tbk,Barang Konsumen Non-Primer,Ritel Khusus,G,Wholesale and retail trade,INDONESIA,,382.0,25871300,6551299948544
Indonesia,IDX,ACRO,PT Samcro Hyosung Adilestari Tbk.,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,C,Manufacturing,INDONESIA,,65.0,4168700,225507459072
Indonesia,IDX,ACST,PT Acset Indonusa Tbk.,Infrastruktur,Konstruksi Bangunan,F,Construction,INDONESIA,,106.0,637500,1873566892032
Indonesia,IDX,ADCP,PT Adhi Commuter Properti Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,50.0,2432700,1111111106560
Indonesia,IDX,ADES,Akasha Wira International Tbk Tbk,Barang Konsumen Primer,Minuman,C,Manufacturing,INDONESIA,,15150.0,37000,8936936701952
Indonesia,IDX,ADHI,PT Adhi Karya (Persero) Tbk.,Infrastruktur,Konstruksi Bangunan,F,Construction,INDONESIA,,206.0,1768400,1731967451136
Indonesia,IDX,ADMF,Adira Dinamika Multi Finance Tbk,Keuangan,Pembiayaan Konsumen,K,Financial and insurance activities,INDONESIA,,8375.0,67200,10267640463360
Indonesia,IDX,ADMG,Polychem Indonesia Tbk,Barang Baku,Barang Kimia,C,Manufacturing,INDONESIA,,200.0,295700,777835905024
Indonesia,IDX,ADMR,PT Alamtri Minerals Indonesia Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,1965.0,68185100,80333781336064
Indonesia,IDX,ADRO,Alamtri Resources Indonesia Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,2450.0,134662700,70561212399616
Indonesia,IDX,AEGS,PT Anugerah Spareparts Sejahtera Tbk.,Barang Konsumen Non-Primer,Komponen Otomotif,C,Manufacturing,INDONESIA,,42.0,7018800,42255388672
Indonesia,IDX,AGAR,PT Asia Sejahtera Mina Tbk,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,206.0,101100,205999996928
Indonesia,IDX,AGII,PT Samator Indo Gas Tbk,Barang Baku,Barang Kimia,C,Manufacturing,INDONESIA,,3400.0,1978400,10426644430848
Indonesia,IDX,AGRO,PT Bank Raya Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,181.0,8566600,4478029266944
Indonesia,IDX,AGRS,PT Bank IBK Indonesia Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,69.0,2095900,3302642679808
Indonesia,IDX,AHAP,Asuransi Harta Aman Pratama Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,104.0,18031100,509599973376
Indonesia,IDX,AIMS,PT Artha Mahiya Investama Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,400.0,1077800,88000004096
Indonesia,IDX,AISA,PT FKS Food Sejahtera Tbk,Barang Konsumen Primer,Makanan Olahan,C,Manufacturing,INDONESIA,,119.0,2116500,452880695296
Indonesia,IDX,AKKU,PT Anugerah Kagum Karya Utama Tbk,Barang Konsumen Non-Primer,Pariwisata & Rekreasi,I,Accommodation and food service activities,INDONESIA,,38.0,56900,245079621632
Indonesia,IDX,AKPI,Argha Karya Prima Ind. Tbk,Barang Baku,Barang Kimia,C,Manufacturing,INDONESIA,,500.0,8500,306123997184
Indonesia,IDX,AKRA,PT AKR Corporindo Tbk.,Energi,Minyak & Gas,B,Mining and quarrying,INDONESIA,,1265.0,9804500,25046707863552
Indonesia,IDX,AKSI,PT Mineral Sumberdaya Mandiri Tbk,Transportasi & Logistik,Logistik & Pengantaran,H,Transportation and storage,INDONESIA,,274.0,596900,197280006144
Indonesia,IDX,ALDO,Alkindo Naratama Tbk,Barang Baku,Wadah & Kemasan,C,Manufacturing,INDONESIA,,560.0,70600,1511023837184
Indonesia,IDX,ALII,PT Ancara Logistics Indonesia Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,690.0,601500,10919802306560
Indonesia,IDX,ALKA,Alakasa Industrindo Tbk,Barang Baku,Logam & Mineral,B,Mining and quarrying,INDONESIA,,795.0,202100,292178231296
Indonesia,IDX,ALMI,Alumindo Light Metal Industry Tbk,Barang Baku,Logam & Mineral,B,Mining and quarrying,INDONESIA,,74.0,67100,282384007168
Indonesia,IDX,ALTO,Tri Banyan Tirta Tbk,Barang Konsumen Primer,Minuman,C,Manufacturing,INDONESIA,,18.0,44800,39453667328
Indonesia,IDX,AMAG,Asuransi Multi Artha Guna Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,410.0,14000,2030218641408
Indonesia,IDX,AMAN,PT Makmur Berkah Amanda Tbk.,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,290.0,954400,1123314958336
Indonesia,IDX,AMAR,PT Bank Amar Indonesia Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,200.0,205800,3602734645248
Indonesia,IDX,AMFG,Asahimas Flat Glass Tbk,Perindustrian,Produk & Perlengkapan Bangunan,C,Manufacturing,INDONESIA,,3290.0,26100,1427859963904
Indonesia,IDX,AMIN,PT Ateliers Mecaniques D Indonesie Tbk.,Perindustrian,Mesin,C,Manufacturing,INDONESIA,,232.0,7800,250560004096
Indonesia,IDX,AMMN,PT Amman Mineral Internasional Tbk.,Barang Baku,Logam & Mineral,B,Mining and quarrying,INDONESIA,,4630.0,155812200,335759336800256
Indonesia,IDX,AMMS,PT Agung Menjangan Mas Tbk,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,398.0,102800,491648122880
Indonesia,IDX,AMOR,PT Ashmore Asset Management Indonesia Tbk.,Keuangan,Jasa Investasi,K,Financial and insurance activities,INDONESIA,,308.0,240600,679426981888
Indonesia,IDX,AMRT,PT Sumber Alfaria Trijaya Tbk.,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,G,Wholesale and retail trade,INDONESIA,,1445.0,35281500,60002907717632
Indonesia,IDX,ANDI,PT Andira Agro Tbk,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,24.0,11291600,224399982592
Indonesia,IDX,ANJT,PT Austindo Nusantara Jaya Tbk.,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,1540.0,47800,5165429555200
Indonesia,IDX,ANTM,Aneka Tambang Tbk.,Barang Baku,Logam & Mineral,B,Mining and quarrying,INDONESIA,,3750.0,114095000,90115368026112
Indonesia,IDX,APEX,Apexindo Pratama Duta Tbk,Energi,"Pendukung Minyak, Gas & Batu Bara",B,Mining and quarrying,INDONESIA,,170.0,19130400,602899283968
Indonesia,IDX,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,Keuangan,Perusahaan Holding & Investasi,K,Financial and insurance activities,INDONESIA,,1155.0,412400,13590092316672
Indonesia,IDX,APII,PT Arita Prima Indonesia Tbk.,Perindustrian,Mesin,C,Manufacturing,INDONESIA,,180.0,156100,193636794368
Indonesia,IDX,APLI,Asiaplast Industries Tbk,Barang Baku,Barang Kimia,C,Manufacturing,INDONESIA,,254.0,12800,346118520832
Indonesia,IDX,APLN,PT Agung Podomoro Land Tbk.,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,150.0,39956300,3404899024896
Indonesia,IDX,ARCI,PT Archi Indonesia Tbk,Barang Baku,Logam & Mineral,B,Mining and quarrying,INDONESIA,,1600.0,251275200,40375997693952
Indonesia,IDX,AREA,PT Dunia Virtual Online Tbk,Teknologi,Jasa & Konsultan TI,J,Information and communication,INDONESIA,,316.0,118900,802513879040
Indonesia,IDX,ARGO,Argo Pantes Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,C,Manufacturing,INDONESIA,,870.0,11300,2761674981376
Indonesia,IDX,ARII,Atlas Resources Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,274.0,21200,1027500015616
Indonesia,IDX,ARKA,PT Arkha Jayanti Persada Tbk.,Perindustrian,Mesin,C,Manufacturing,INDONESIA,,32.0,816900,64000000000
Indonesia,IDX,ARKO,PT Arkora Hydro Tbk.,Infrastruktur,Utilitas Listrik,D,"Electricity, gas, steam and air conditioning supply",INDONESIA,,6400.0,2006000,18742369058816
Indonesia,IDX,ARMY,PT Armidian Karyatama Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,50.0,38700,450312503296
Indonesia,IDX,ARNA,Arwana Citramulia Tbk,Perindustrian,Produk & Perlengkapan Bangunan,C,Manufacturing,INDONESIA,,515.0,1339000,3620438278144
Indonesia,IDX,ARTA,Arthavest Tbk,Barang Konsumen Non-Primer,Pariwisata & Rekreasi,I,Accommodation and food service activities,INDONESIA,,3070.0,151900,1371289681920
Indonesia,IDX,ARTI,Ratu Prabu Energi Tbk,Energi,"Pendukung Minyak, Gas & Batu Bara",B,Mining and quarrying,INDONESIA,,2.0,0,15680000000
Indonesia,IDX,ARTO,PT Bank Jago Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,1385.0,1554900,19197943873536
Indonesia,IDX,ASBI,Asuransi Bintang Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,418.0,19200,145625546752
Indonesia,IDX,ASDM,Asuransi Dayin Mitra Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,605.0,2900,232320008192
Indonesia,IDX,ASGR,Astra Graphia Tbk,Perindustrian,Jasa Komersial,C,Manufacturing,INDONESIA,,1465.0,292300,1975963484160
Indonesia,IDX,ASHA,PT Cilacap Samudera Fishing Industry Tbk,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,64.0,137300400,320000000000
Indonesia,IDX,ASII,Astra International Tbk,Perindustrian,Perusahaan Holding Multi-sektor,S,Other service activities,INDONESIA,,5800.0,89895700,233239557963776
Indonesia,IDX,ASJT,Asuransi Jasa Tania Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,187.0,127600,261800001536
Indonesia,IDX,ASLC,PT Autopedia Sukses Lestari Tbk,Barang Konsumen Non-Primer,Ritel Khusus,C,Manufacturing,INDONESIA,,75.0,6411100,955976581120
Indonesia,IDX,ASLI,PT Asri Karya Lestari Tbk.,Infrastruktur,Konstruksi Bangunan,F,Construction,INDONESIA,,280.0,15421600,1749999943680
Indonesia,IDX,ASMI,PT Asuransi Maximus Graha Persada Tbk.,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,19.0,18582200,170209214464
Indonesia,IDX,ASPI,PT Andalan Sakti Primaindo Tbk.,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,280.0,495000,191467012096
Indonesia,IDX,ASPR,PT Asia Pramulia Tbk,Barang Baku,Wadah & Kemasan,C,Manufacturing,INDONESIA,,144.0,37556400,390528008192
Indonesia,IDX,ASRI,ALAM SUTERA REALTY Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,126.0,6997300,2475825823744
Indonesia,IDX,ASRM,Asuransi Ramayana Tbk,Keuangan,Asuransi,K,Financial and insurance activities,INDONESIA,,280.0,11200,357837766656
Indonesia,IDX,ASSA,Adi Sarana Armada Tbk,Transportasi & Logistik,Pengangkutan Darat Penumpang,H,Transportation and storage,INDONESIA,,1025.0,2327700,3783416086528
Indonesia,IDX,ATAP,PT Trimitra Prawara Goldland Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,760.0,2832200,950000025600
Indonesia,IDX,ATIC,PT Anabatic Technologies Tbk,Teknologi,Jasa & Konsultan TI,J,Information and communication,INDONESIA,,540.0,136100,1250295152640
Indonesia,IDX,ATLA,PT Atlantis Subsea Indonesia Tbk,Energi,"Pendukung Minyak, Gas & Batu Bara",B,Mining and quarrying,INDONESIA,,50.0,3893400,309977481216
Indonesia,IDX,AUTO,Astra Otoparts Tbk,Barang Konsumen Non-Primer,Komponen Otomotif,C,Manufacturing,INDONESIA,,2560.0,2267600,12338516197376
Indonesia,IDX,AVIA,PT Avia Avian Tbk,Barang Baku,Barang Kimia,C,Manufacturing,INDONESIA,,390.0,9298400,23131964047360
Indonesia,IDX,AWAN,PT Era Digital Media Tbk,Teknologi,Aplikasi & Jasa Internet,J,Information and communication,INDONESIA,,144.0,200700,494640005120
Indonesia,IDX,AXIO,PT Tera Data Indonusa Tbk,Teknologi,Perangkat Komputer,J,Information and communication,INDONESIA,,112.0,325500,654094172160
Indonesia,IDX,AYAM,PT Janu Putra Sejahtera Tbk.,Barang Konsumen Primer,Produk Makanan Pertanian,A,"Agriculture, forestry and fishing",INDONESIA,,300.0,38184000,1199999942656
Indonesia,IDX,AYLS,PT Agro Yasa Lestari Tbk,Barang Baku,Material Konstruksi,F,Construction,INDONESIA,,165.0,2920100,140814827520
Indonesia,IDX,BABP,PT Bank MNC Internasional Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,51.0,3876400,2267408760832
Indonesia,IDX,BABY,PT Multitrend Indo Tbk.,Barang Konsumen Non-Primer,Ritel Khusus,C,Manufacturing,INDONESIA,,210.0,714600,549407621120
Indonesia,IDX,BACA,PT Bank Capital Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,131.0,2199900,2613846212608
Indonesia,IDX,BAIK,PT Bersama Mencapai Puncak Tbk.,Barang Konsumen Non-Primer,Pariwisata & Rekreasi,I,Accommodation and food service activities,INDONESIA,,260.0,5994200,293149376512
Indonesia,IDX,BAJA,Saranacentral Bajatama Tbk,Barang Baku,Logam & Mineral,B,Mining and quarrying,INDONESIA,,132.0,425100,237599997952
Indonesia,IDX,BALI,PT Bali Towerindo Sentra Tbk.,Infrastruktur,Jasa Telekomunikasi Nirkabel,J,Information and communication,INDONESIA,,1225.0,12600,4819876052992
Indonesia,IDX,BANK,PT Bank Aladin Syariah Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,430.0,352200,6361065193472
Indonesia,IDX,BAPA,Bekasi Asri Pemula Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,71.0,864400,46986698752
Indonesia,IDX,BAPI,PT Bhakti Agung Propertindo Tbk.,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,28.0,4588500,156575432704
Indonesia,IDX,BATA,Sepatu Bata Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,I,Accommodation and food service activities,INDONESIA,,63.0,5100,81900003328
Indonesia,IDX,BATR,PT Benteng Api Technic Tbk,Barang Baku,Material Konstruksi,F,Construction,INDONESIA,,84.0,889900,254103126016
Indonesia,IDX,BAUT,PT Mitra Angkasa Sejahtera Tbk,Barang Konsumen Non-Primer,Ritel Khusus,G,Wholesale and retail trade,INDONESIA,,29.0,1526500,139205296128
Indonesia,IDX,BAYU,Bayu Buana Tbk,Barang Konsumen Non-Primer,Pariwisata & Rekreasi,I,Accommodation and food service activities,INDONESIA,,1400.0,200100,494509064192
Indonesia,IDX,BBCA,PT Bank Central Asia Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,6775.0,160903900,833413305073664
Indonesia,IDX,BBHI,PT Allo Bank Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,1275.0,535100,27706076954624
Indonesia,IDX,BBKP,PT Bank KB Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,62.0,68595100,11649027145728
Indonesia,IDX,BBLD,Buana Finance Tbk,Keuangan,Pembiayaan Konsumen,K,Financial and insurance activities,INDONESIA,,785.0,20300,1291949965312
Indonesia,IDX,BBMD,PT Bank Mestika Dharma Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,1980.0,1100,7977666871296
Indonesia,IDX,BBNI,PT Bank Negara Indonesia (Persero) Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,4390.0,209818800,163557337464832
Indonesia,IDX,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,3480.0,204208500,527425305837568
Indonesia,IDX,BBRM,Pelayaran Nasional Bina Buana Raya Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,130.0,4610200,1102333739008
Indonesia,IDX,BBSI,PT Krom Bank Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,4700.0,8900,17271200153600
Indonesia,IDX,BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,Properti & Real Estat,Pengelola & Pengembang Real Estat,L,Real estate activities,INDONESIA,,156.0,680900,748802473984
Indonesia,IDX,BBTN,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,1270.0,11983000,17823745179648
Indonesia,IDX,BBYB,PT Bank Neo Commerce Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,288.0,48816100,3844938924032
Indonesia,IDX,BCAP,MNC Kapital Indonesia Tbk,Keuangan,Perusahaan Holding & Investasi,K,Financial and insurance activities,INDONESIA,,50.0,6949300,2130942623744
Indonesia,IDX,BCIC,PT Bank JTrust Indonesia Tbk.,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,123.0,219500,2227520405504
