Country,Total,"A (Agriculture, forestry and fish)",B (Mining and quarrying),C (Manufacturing),"D (Electricity, gas, steam and ai)",F (Construction),G (Wholesale and retail trade),H (Transportation and storage),I (Accommodation and food service),J (Information and communication),K (Financial and insurance activi),L (Real estate activities),"M (Professional, scientific and t)",P (Education),Q (Human health and social work a),"R (Arts, entertainment and recrea)",S (Other service activities),Unclassified (Unclassified)
Indonesia,955,72 (7.5%),127 (13.3%),202 (21.2%),18 (1.9%),51 (5.3%),41 (4.3%),47 (4.9%),78 (8.2%),84 (8.8%),95 (9.9%),92 (9.6%),7 (0.7%),3 (0.3%),23 (2.4%),4 (0.4%),11 (1.2%),0 (0.0%)
Singapore,695,7 (1.0%),24 (3.5%),161 (23.2%),32 (4.6%),95 (13.7%),16 (2.3%),9 (1.3%),5 (0.7%),51 (7.3%),107 (15.4%),68 (9.8%),2 (0.3%),0 (0.0%),32 (4.6%),6 (0.9%),55 (7.9%),25 (3.6%)
Thailand,932,87 (9.3%),5 (0.5%),113 (12.1%),63 (6.8%),73 (7.8%),34 (3.6%),35 (3.8%),17 (1.8%),99 (10.6%),82 (8.8%),214 (23.0%),8 (0.9%),0 (0.0%),36 (3.9%),0 (0.0%),5 (0.5%),61 (6.5%)
Malaysia,1116,79 (7.1%),3 (0.3%),396 (35.5%),29 (2.6%),153 (13.7%),25 (2.2%),35 (3.1%),31 (2.8%),105 (9.4%),42 (3.8%),119 (10.7%),0 (0.0%),0 (0.0%),13 (1.2%),0 (0.0%),84 (7.5%),2 (0.2%)
Vietnam,1547,65 (4.2%),49 (3.2%),404 (26.1%),107 (6.9%),335 (21.7%),59 (3.8%),113 (7.3%),28 (1.8%),61 (3.9%),89 (5.8%),119 (7.7%),0 (0.0%),8 (0.5%),10 (0.6%),0 (0.0%),94 (6.1%),6 (0.4%)
Philippines,300,0 (0.0%),30 (10.0%),66 (22.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),30 (10.0%),48 (16.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),126 (42.0%),0 (0.0%)
Myanmar,8,0 (0.0%),0 (0.0%),1 (12.5%),0 (0.0%),2 (25.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (37.5%),1 (12.5%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (12.5%),0 (0.0%)
Cambodia,12,0 (0.0%),0 (0.0%),2 (16.7%),3 (25.0%),3 (25.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (8.3%),3 (25.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
Laos,12,0 (0.0%),0 (0.0%),1 (8.3%),2 (16.7%),4 (33.3%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (25.0%),0 (0.0%),0 (0.0%),1 (8.3%),0 (0.0%),0 (0.0%),1 (8.3%),0 (0.0%)
TOTAL,5577,310,238,1346,254,716,175,239,159,400,452,664,17,12,114,10,377,94
